lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngS1,intSum
1815,1,20210101,20210101001,,,,,,,,0
1816,2,20210105,20210105002,,,,,,,,0
1817,3,20210108,20210108003,,,,,,,,0
1818,4,20210112,20210112004,,,,,,,,0
1819,5,20210115,20210115005,,,,,,,,0
1820,6,20210119,20210119006,,,,,,,,0
1821,7,20210122,20210122007,,,,,,,,0
1822,8,20210126,20210126008,,,,,,,,0
1823,9,20210129,20210129009,,,,,,,,0
1824,10,20210202,20210202010,,,,,,,,0
1825,11,20210205,20210205011,,,,,,,,0
1826,12,20210209,20210209012,,,,,,,,0
1827,13,20210212,20210212013,,,,,,,,0
1828,14,20210216,20210216014,,,,,,,,0
1829,15,20210219,20210219015,,,,,,,,0
1830,16,20210223,20210223016,,,,,,,,0
1831,17,20210226,20210226017,,,,,,,,0
1832,18,20210302,20210302018,,,,,,,,0
1833,19,20210305,20210305019,,,,,,,,0
1834,20,20210309,20210309020,,,,,,,,0
1835,21,20210312,20210312021,,,,,,,,0
1836,22,20210316,20210316022,,,,,,,,0
1837,23,20210319,20210319023,,,,,,,,0
1838,24,20210323,20210323024,,,,,,,,0
1839,25,20210326,20210326025,,,,,,,,0
1840,26,20210330,20210330026,,,,,,,,0
1841,27,20210402,20210402027,,,,,,,,0
1842,28,20210406,20210406028,,,,,,,,0
1843,29,20210409,20210409029,,,,,,,,0
1844,30,20210413,20210413030,,,,,,,,0
1845,31,20210416,20210416031,,,,,,,,0
1846,32,20210420,20210420032,,,,,,,,0
1847,33,20210423,20210423033,,,,,,,,0
1848,34,20210427,20210427034,,,,,,,,0
1849,35,20210430,20210430035,,,,,,,,0
1850,36,20210504,20210504036,,,,,,,,0
1851,37,20210507,20210507037,,,,,,,,0
1852,38,20210511,20210511038,,,,,,,,0
1853,39,20210514,20210514039,,,,,,,,0
1854,40,20210518,20210518040,,,,,,,,0
1855,41,20210521,20210521041,,,,,,,,0
1856,42,20210525,20210525042,,,,,,,,0
1857,43,20210528,20210528043,,,,,,,,0
1858,44,20210601,20210601044,,,,,,,,0
1859,45,20210604,20210604045,,,,,,,,0
1860,46,20210608,20210608046,,,,,,,,0
1861,47,20210611,20210611047,,,,,,,,0
1862,48,20210615,20210615048,,,,,,,,0
1863,49,20210618,20210618049,,,,,,,,0
1864,50,20210622,20210622050,,,,,,,,0
1865,51,20210625,20210625051,,,,,,,,0
1866,52,20210629,20210629052,,,,,,,,0
1867,53,20210702,20210702053,,,,,,,,0
1868,54,20210706,20210706054,,,,,,,,0
1869,55,20210709,20210709055,,,,,,,,0
1870,56,20210713,20210713056,,,,,,,,0
1871,57,20210716,20210716057,,,,,,,,0
1872,58,20210720,20210720058,,,,,,,,0
1873,59,20210723,20210723059,,,,,,,,0
1874,60,20210727,20210727060,,,,,,,,0
1875,61,20210730,20210730061,,,,,,,,0
1876,62,20210803,20210803062,,,,,,,,0
1877,63,20210806,20210806063,,,,,,,,0
1878,64,20210810,20210810064,,,,,,,,0
1879,65,20210813,20210813065,,,,,,,,0
1880,66,20210817,20210817066,,,,,,,,0
1881,67,20210820,20210820067,,,,,,,,0
1882,68,20210824,20210824068,,,,,,,,0
1883,69,20210827,20210827069,,,,,,,,0
1884,70,20210831,20210831070,,,,,,,,0
1885,71,20210903,20210903071,,,,,,,,0
1886,72,20210907,20210907072,,,,,,,,0
1887,73,20210910,20210910073,,,,,,,,0
1888,74,20210914,20210914074,,,,,,,,0
1889,75,20210917,20210917075,,,,,,,,0
1890,76,20210921,20210921076,,,,,,,,0
1891,77,20210924,20210924077,,,,,,,,0
1892,78,20210928,20210928078,,,,,,,,0
1893,79,20211001,20211001079,,,,,,,,0
1894,80,20211005,20211005080,,,,,,,,0
