lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngL7,lngS1,intSum
413,27,20190403,20190403027,,,,,,,,,0
414,28,20190406,20190406028,,,,,,,,,0
415,29,20190410,20190410029,,,,,,,,,0
416,30,20190413,20190413030,,,,,,,,,0
417,31,20190417,20190417031,,,,,,,,,0
418,32,20190420,20190420032,,,,,,,,,0
419,33,20190424,20190424033,,,,,,,,,0
420,34,20190427,20190427034,,,,,,,,,0
421,35,20190501,20190501035,,,,,,,,,0
422,36,20190504,20190504036,,,,,,,,,0
423,37,20190508,20190508037,,,,,,,,,0
424,38,20190511,20190511038,,,,,,,,,0
425,39,20190515,20190515039,,,,,,,,,0
426,40,20190518,20190518040,,,,,,,,,0
427,41,20190522,20190522041,,,,,,,,,0
428,42,20190525,20190525042,,,,,,,,,0
429,43,20190529,20190529043,,,,,,,,,0
430,44,20190601,20190601044,,,,,,,,,0
431,45,20190605,20190605045,,,,,,,,,0
432,46,20190608,20190608046,,,,,,,,,0
433,47,20190612,20190612047,,,,,,,,,0
434,48,20190615,20190615048,,,,,,,,,0
435,49,20190619,20190619049,,,,,,,,,0
436,50,20190622,20190622050,,,,,,,,,0
437,51,20190626,20190626051,,,,,,,,,0
438,52,20190629,20190629052,,,,,,,,,0
439,53,20190703,20190703053,,,,,,,,,0
440,54,20190706,20190706054,,,,,,,,,0
441,55,20190710,20190710055,,,,,,,,,0
442,56,20190713,20190713056,,,,,,,,,0
443,57,20190717,20190717057,,,,,,,,,0
444,58,20190720,20190720058,,,,,,,,,0
445,59,20190724,20190724059,,,,,,,,,0
446,60,20190727,20190727060,,,,,,,,,0
447,61,20190731,20190731061,,,,,,,,,0
448,62,20190803,20190803062,,,,,,,,,0
449,63,20190807,20190807063,,,,,,,,,0
450,64,20190810,20190810064,,,,,,,,,0
451,65,20190814,20190814065,,,,,,,,,0
452,66,20190817,20190817066,,,,,,,,,0
453,67,20190821,20190821067,,,,,,,,,0
454,68,20190824,20190824068,,,,,,,,,0
455,69,20190828,20190828069,,,,,,,,,0
456,70,20190831,20190831070,,,,,,,,,0
457,71,20190904,20190904071,,,,,,,,,0
458,72,20190907,20190907072,,,,,,,,,0
459,73,20190911,20190911073,,,,,,,,,0
460,74,20190914,20190914074,,,,,,,,,0
461,75,20190918,20190918075,,,,,,,,,0
462,76,20190921,20190921076,,,,,,,,,0
463,77,20190925,20190925077,,,,,,,,,0
464,78,20190928,20190928078,,,,,,,,,0
465,79,20191002,20191002079,,,,,,,,,0
466,80,20191005,20191005080,,,,,,,,,0
467,81,20191009,20191009081,,,,,,,,,0
468,82,20191012,20191012082,,,,,,,,,0
469,83,20191016,20191016083,,,,,,,,,0
470,84,20191019,20191019084,,,,,,,,,0
471,85,20191023,20191023085,,,,,,,,,0
472,86,20191026,20191026086,,,,,,,,,0
473,87,20191030,20191030087,,,,,,,,,0
474,88,20191102,20191102088,,,,,,,,,0
475,89,20191106,20191106089,,,,,,,,,0
476,90,20191109,20191109090,,,,,,,,,0
477,91,20191113,20191113091,,,,,,,,,0
478,92,20191116,20191116092,,,,,,,,,0
479,93,20191120,20191120093,,,,,,,,,0
480,94,20191123,20191123094,,,,,,,,,0
481,95,20191127,20191127095,,,,,,,,,0
482,96,20191130,20191130096,,,,,,,,,0
483,97,20191204,20191204097,,,,,,,,,0
484,98,20191207,20191207098,,,,,,,,,0
485,99,20191211,20191211099,,,,,,,,,0
486,100,20191214,20191214100,,,,,,,,,0
487,101,20191218,20191218101,,,,,,,,,0
488,102,20191221,20191221102,,,,,,,,,0
489,103,20191225,20191225103,,,,,,,,,0
490,104,20191228,20191228104,,,,,,,,,0
491,105,20200101,20200101105,,,,,,,,,0
492,106,20200104,20200104106,,,,,,,,,0
493,107,20200108,20200108107,,,,,,,,,0
494,108,20200111,20200111108,,,,,,,,,0
495,109,20200115,20200115109,,,,,,,,,0
496,110,20200118,20200118110,,,,,,,,,0
497,111,20200122,20200122111,,,,,,,,,0
498,112,20200125,20200125112,,,,,,,,,0
499,113,20200129,20200129113,,,,,,,,,0
500,114,20200201,20200201114,,,,,,,,,0
501,115,20200205,20200205115,,,,,,,,,0
502,116,20200208,20200208116,,,,,,,,,0
503,117,20200212,20200212117,,,,,,,,,0
504,118,20200215,20200215118,,,,,,,,,0
505,119,20200219,20200219119,,,,,,,,,0
506,120,20200222,20200222120,,,,,,,,,0
507,121,20200226,20200226121,,,,,,,,,0
508,122,20200229,20200229122,,,,,,,,,0
509,123,20200304,20200304123,,,,,,,,,0
510,124,20200307,20200307124,,,,,,,,,0
511,125,20200311,20200311125,,,,,,,,,0
512,126,20200314,20200314126,,,,,,,,,0
