lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngS1,intSum
5297,14,20201029,20201029014,40,11,6,38,43,33,2,173
5298,15,20201106,20201106015,40,38,36,11,17,35,6,183
5299,16,20201110,20201110016,28,49,45,15,25,13,24,199
5300,17,20201113,20201113017,28,18,17,47,15,6,32,163
5301,18,20201117,20201117018,20,19,49,21,13,33,45,200
5302,19,20201120,20201120019,33,30,34,22,25,43,24,211
5303,20,20201124,20201124020,7,45,16,22,12,47,25,174
5304,21,20201127,20201127021,13,12,27,23,38,5,39,157
5305,22,20201201,20201201022,27,42,31,24,47,29,22,222
5306,23,20201204,20201204023,13,41,11,38,19,39,47,208
5307,24,20201208,20201208024,32,7,35,34,48,49,23,228
5308,25,20201211,20201211025,1,29,46,23,11,41,44,195
5309,26,20201215,20201215026,11,21,20,33,2,13,14,114
5310,27,20201218,20201218027,8,12,34,49,23,11,28,165
5311,28,20201222,20201222028,11,36,20,37,39,48,21,212
5312,29,20201225,20201225029,24,27,41,18,14,28,45,197
5313,30,20201229,20201229030,11,39,10,24,41,42,22,189
5314,1,20210102,20210102001,3,14,21,45,46,9,34,172
5315,2,20210105,20210105002,46,22,36,30,38,24,33,229
5316,3,20210108,20210108003,33,29,34,32,19,5,43,195
5317,4,20210112,20210112004,26,19,22,35,40,5,2,149
5318,5,20210115,20210115005,42,41,45,4,24,39,6,201
5319,6,20210119,20210119006,14,38,21,40,22,45,17,197
5320,7,20210122,20210122007,,,,,,,,0
5321,8,20210126,20210126008,,,,,,,,0
5322,9,20210129,20210129009,,,,,,,,0
