lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngL7,lngL8,lngL9,lngL10,lngL11,lngL12,intSum
781,251,20201019,20201019251,,,,,,,,,,,,,0
782,252,20201020,20201020252,,,,,,,,,,,,,0
783,253,20201021,20201021253,,,,,,,,,,,,,0
784,254,20201022,20201022254,,,,,,,,,,,,,0
785,255,20201023,20201023255,,,,,,,,,,,,,0
786,256,20201024,20201024256,,,,,,,,,,,,,0
787,257,20201026,20201026257,,,,,,,,,,,,,0
788,258,20201027,20201027258,,,,,,,,,,,,,0
789,259,20201028,20201028259,,,,,,,,,,,,,0
790,260,20201029,20201029260,,,,,,,,,,,,,0
791,261,20201030,20201030261,,,,,,,,,,,,,0
792,262,20201031,20201031262,,,,,,,,,,,,,0
793,263,20201102,20201102263,,,,,,,,,,,,,0
794,264,20201103,20201103264,,,,,,,,,,,,,0
795,265,20201104,20201104265,,,,,,,,,,,,,0
796,266,20201105,20201105266,,,,,,,,,,,,,0
797,267,20201106,20201106267,,,,,,,,,,,,,0
798,268,20201107,20201107268,,,,,,,,,,,,,0
799,269,20201109,20201109269,,,,,,,,,,,,,0
800,270,20201110,20201110270,,,,,,,,,,,,,0
801,271,20201111,20201111271,,,,,,,,,,,,,0
802,272,20201112,20201112272,,,,,,,,,,,,,0
803,273,20201113,20201113273,,,,,,,,,,,,,0
804,274,20201114,20201114274,,,,,,,,,,,,,0
805,275,20201116,20201116275,,,,,,,,,,,,,0
806,276,20201117,20201117276,,,,,,,,,,,,,0
807,277,20201118,20201118277,,,,,,,,,,,,,0
808,278,20201119,20201119278,,,,,,,,,,,,,0
809,279,20201120,20201120279,,,,,,,,,,,,,0
810,280,20201121,20201121280,,,,,,,,,,,,,0
811,281,20201123,20201123281,,,,,,,,,,,,,0
812,282,20201124,20201124282,,,,,,,,,,,,,0
813,283,20201125,20201125283,,,,,,,,,,,,,0
814,284,20201126,20201126284,,,,,,,,,,,,,0
815,285,20201127,20201127285,,,,,,,,,,,,,0
816,286,20201128,20201128286,,,,,,,,,,,,,0
817,287,20201130,20201130287,,,,,,,,,,,,,0
818,288,20201201,20201201288,,,,,,,,,,,,,0
819,289,20201202,20201202289,,,,,,,,,,,,,0
820,290,20201203,20201203290,,,,,,,,,,,,,0
821,291,20201204,20201204291,,,,,,,,,,,,,0
822,292,20201205,20201205292,,,,,,,,,,,,,0
823,293,20201207,20201207293,,,,,,,,,,,,,0
824,294,20201208,20201208294,,,,,,,,,,,,,0
825,295,20201209,20201209295,,,,,,,,,,,,,0
826,296,20201210,20201210296,,,,,,,,,,,,,0
827,297,20201211,20201211297,,,,,,,,,,,,,0
828,298,20201212,20201212298,,,,,,,,,,,,,0
829,299,20201214,20201214299,,,,,,,,,,,,,0
830,300,20201215,20201215300,,,,,,,,,,,,,0
831,301,20201216,20201216301,,,,,,,,,,,,,0
