lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngS1,intSum
1260,118,20200217,20200217118,,,,,,,,0
1261,119,20200220,20200220119,,,,,,,,0
1262,120,20200224,20200224120,,,,,,,,0
1263,121,20200227,20200227121,,,,,,,,0
1264,122,20200302,20200302122,,,,,,,,0
1265,123,20200305,20200305123,,,,,,,,0
1266,124,20200309,20200309124,,,,,,,,0
1267,125,20200312,20200312125,,,,,,,,0
1268,126,20200316,20200316126,,,,,,,,0
1269,127,20200319,20200319127,,,,,,,,0
1270,128,20200323,20200323128,,,,,,,,0
1271,129,20200326,20200326129,,,,,,,,0
1272,130,20200330,20200330130,,,,,,,,0
1273,131,20200402,20200402131,,,,,,,,0
1274,132,20200406,20200406132,,,,,,,,0
1275,133,20200409,20200409133,,,,,,,,0
1276,134,20200413,20200413134,,,,,,,,0
1277,135,20200416,20200416135,,,,,,,,0
1278,136,20200420,20200420136,,,,,,,,0
1279,137,20200423,20200423137,,,,,,,,0
1280,138,20200427,20200427138,,,,,,,,0
1281,139,20200430,20200430139,,,,,,,,0
1282,140,20200504,20200504140,,,,,,,,0
1283,141,20200507,20200507141,,,,,,,,0
1284,142,20200511,20200511142,,,,,,,,0
1285,143,20200514,20200514143,,,,,,,,0
1286,144,20200518,20200518144,,,,,,,,0
1287,145,20200521,20200521145,,,,,,,,0
1288,146,20200525,20200525146,,,,,,,,0
1289,147,20200528,20200528147,,,,,,,,0
1290,148,20200601,20200601148,,,,,,,,0
1291,149,20200604,20200604149,,,,,,,,0
1292,150,20200608,20200608150,,,,,,,,0
1293,151,20200611,20200611151,,,,,,,,0
1294,152,20200615,20200615152,,,,,,,,0
1295,153,20200618,20200618153,,,,,,,,0
1296,154,20200622,20200622154,,,,,,,,0
1297,155,20200625,20200625155,,,,,,,,0
1298,156,20200629,20200629156,,,,,,,,0
1299,157,20200702,20200702157,,,,,,,,0
1300,158,20200706,20200706158,,,,,,,,0
1301,159,20200709,20200709159,,,,,,,,0
1302,160,20200713,20200713160,,,,,,,,0
1303,161,20200716,20200716161,,,,,,,,0
1304,162,20200720,20200720162,,,,,,,,0
1305,163,20200723,20200723163,,,,,,,,0
1306,164,20200727,20200727164,,,,,,,,0
1307,165,20200730,20200730165,,,,,,,,0
1308,166,20200803,20200803166,,,,,,,,0
1309,167,20200806,20200806167,,,,,,,,0
1310,168,20200810,20200810168,,,,,,,,0
1311,169,20200813,20200813169,,,,,,,,0
1312,170,20200817,20200817170,,,,,,,,0
1313,171,20200820,20200820171,,,,,,,,0
1314,172,20200824,20200824172,,,,,,,,0
1315,173,20200827,20200827173,,,,,,,,0
1316,174,20200831,20200831174,,,,,,,,0
1317,175,20200903,20200903175,,,,,,,,0
1318,176,20200907,20200907176,,,,,,,,0
1319,177,20200910,20200910177,,,,,,,,0
1320,178,20200914,20200914178,,,,,,,,0
1321,179,20200917,20200917179,,,,,,,,0
1322,180,20200921,20200921180,,,,,,,,0
1323,181,20200924,20200924181,,,,,,,,0
1324,182,20200928,20200928182,,,,,,,,0
1325,183,20201001,20201001183,,,,,,,,0
1326,184,20201005,20201005184,,,,,,,,0
1327,185,20201008,20201008185,,,,,,,,0
1328,186,20201012,20201012186,,,,,,,,0
1329,187,20201015,20201015187,,,,,,,,0
1330,188,20201019,20201019188,,,,,,,,0
1331,189,20201022,20201022189,,,,,,,,0
