lngDateSN,lngCDateSN
20190220,1080116
20190221,1080117
20190222,1080118
20190223,1080119
20190224,1080120
20190225,1080121
20190226,1080122
20190227,1080123
20190228,1080124
20190301,1080125
20190302,1080126
20190303,1080127
20190304,1080128
20190305,1080129
20190306,1080130
20190307,1080201
20190308,1080202
20190309,1080203
20190310,1080204
20190311,1080205
20190312,1080206
20190313,1080207
20190314,1080208
20190315,1080209
20190316,1080210
20190317,1080211
20190318,1080212
20190319,1080213
20190320,1080214
20190321,1080215
20190322,1080216
20190323,1080217
20190324,1080218
20190325,1080219
20190326,1080220
20190327,1080221
20190328,1080222
20190329,1080223
20190330,1080224
20190331,1080225
20190401,1080226
20190402,1080227
20190403,1080228
20190404,1080229
20190405,1080301
20190406,1080302
20190407,1080303
20190408,1080304
20190409,1080305
20190410,1080306
20190411,1080307
20190412,1080308
20190413,1080309
20190414,1080310
20190415,1080311
20190416,1080312
20190417,1080313
20190418,1080314
20190419,1080315
20190420,1080316
20190421,1080317
20190422,1080318
20190423,1080319
20190424,1080320
20190425,1080321
20190426,1080322
20190427,1080323
20190428,1080324
20190429,1080325
20190430,1080326
20190501,1080327
20190502,1080328
20190503,1080329
20190504,1080330
20190505,1080401
20190506,1080402
20190507,1080403
20190508,1080404
20190509,1080405
20190510,1080406
20190511,1080407
20190512,1080408
20190513,1080409
20190514,1080410
20190515,1080411
20190516,1080412
20190517,1080413
20190518,1080414
20190519,1080415
20190520,1080416
20190521,1080417
20190522,1080418
20190523,1080419
20190524,1080420
20190525,1080421
20190526,1080422
20190527,1080423
20190528,1080424
20190529,1080425
20190530,1080426
20190531,1080427
20190601,1080428
20190602,1080429
20190603,1080501
20190604,1080502
20190605,1080503
20190606,1080504
20190607,1080505
20190608,1080506
20190609,1080507
20190610,1080508
20190611,1080509
20190612,1080510
20190613,1080511
20190614,1080512
20190615,1080513
20190616,1080514
20190617,1080515
20190618,1080516
20190619,1080517
20190620,1080518
20190621,1080519
20190622,1080520
20190623,1080521
20190624,1080522
20190625,1080523
20190626,1080524
20190627,1080525
20190628,1080526
20190629,1080527
20190630,1080528
20190701,1080529
20190702,1080530
20190703,1080601
20190704,1080602
20190705,1080603
20190706,1080604
20190707,1080605
20190708,1080606
20190709,1080607
20190710,1080608
20190711,1080609
20190712,1080610
20190713,1080611
20190714,1080612
20190715,1080613
20190716,1080614
20190717,1080615
20190718,1080616
20190719,1080617
20190720,1080618
20190721,1080619
20190722,1080620
20190723,1080621
20190724,1080622
20190725,1080623
20190726,1080624
20190727,1080625
20190728,1080626
20190729,1080627
20190730,1080628
20190731,1080629
20190801,1080701
20190802,1080702
20190803,1080703
20190804,1080704
20190805,1080705
20190806,1080706
20190807,1080707
20190808,1080708
20190809,1080709
20190810,1080710
20190811,1080711
20190812,1080712
20190813,1080713
20190814,1080714
20190815,1080715
20190816,1080716
20190817,1080717
20190818,1080718
20190819,1080719
20190820,1080720
20190821,1080721
20190822,1080722
20190823,1080723
20190824,1080724
20190825,1080725
20190826,1080726
20190827,1080727
20190828,1080728
20190829,1080729
20190830,1080801
20190831,1080802
20190901,1080803
20190902,1080804
20190903,1080805
20190904,1080806
20190905,1080807
20190906,1080808
20190907,1080809
20190908,1080810
20190909,1080811
20190910,1080812
20190911,1080813
20190912,1080814
20190913,1080815
20190914,1080816
20190915,1080817
20190916,1080818
20190917,1080819
20190918,1080820
20190919,1080821
20190920,1080822
20190921,1080823
20190922,1080824
20190923,1080825
20190924,1080826
20190925,1080827
20190926,1080828
20190927,1080829
20190928,1080830
20190929,1080901
20190930,1080902
20191001,1080903
20191002,1080904
20191003,1080905
20191004,1080906
20191005,1080907
20191006,1080908
20191007,1080909
20191008,1080910
20191009,1080911
20191010,1080912
20191011,1080913
20191012,1080914
20191013,1080915
20191014,1080916
20191015,1080917
20191016,1080918
20191017,1080919
20191018,1080920
20191019,1080921
20191020,1080922
20191021,1080923
20191022,1080924
20191023,1080925
20191024,1080926
20191025,1080927
20191026,1080928
20191027,1080929
20191028,1081001
20191029,1081002
20191030,1081003
20191031,1081004
20191101,1081005
20191102,1081006
20191103,1081007
20191104,1081008
20191105,1081009
20191106,1081010
20191107,1081011
20191108,1081012
20191109,1081013
20191110,1081014
20191111,1081015
20191112,1081016
20191113,1081017
20191114,1081018
20191115,1081019
20191116,1081020
20191117,1081021
20191118,1081022
20191119,1081023
20191120,1081024
20191121,1081025
20191122,1081026
20191123,1081027
20191124,1081028
20191125,1081029
20191126,1081101
20191127,1081102
20191128,1081103
20191129,1081104
20191130,1081105
20191201,1081106
20191202,1081107
20191203,1081108
20191204,1081109
20191205,1081110
20191206,1081111
20191207,1081112
20191208,1081113
20191209,1081114
20191210,1081115
20191211,1081116
20191212,1081117
20191213,1081118
20191214,1081119
20191215,1081120
20191216,1081121
20191217,1081122
20191218,1081123
20191219,1081124
20191220,1081125
20191221,1081126
20191222,1081127
20191223,1081128
20191224,1081129
20191225,1081130
20191226,1081201
20191227,1081202
20191228,1081203
20191229,1081204
20191230,1081205
20191231,1081206
20200101,1081207
20200102,1081208
20200103,1081209
20200104,1081210
20200105,1081211
20200106,1081212
20200107,1081213
20200108,1081214
20200109,1081215
20200110,1081216
20200111,1081217
20200112,1081218
20200113,1081219
20200114,1081220
20200115,1081221
20200116,1081222
20200117,1081223
20200118,1081224
20200119,1081225
20200120,1081226
20200121,1081227
20200122,1081228
20200123,1081229
20200124,1081230
20200125,1090101
20200126,1090102
20200127,1090103
20200128,1090104
20200129,1090105
20200130,1090106
20200131,1090107
